device_id,user_id,doc_type,strokeDuration,startX,startY,stopX,stopY,directEndToEndDistance,meanResultantLength,upDownLeftRightFlag,directionOfEndToEndLine,largestDeviationFromEndToEndLine,averageDirection,lengthOfTrajectory,averageVelocity,midStrokePressure,midStrokeArea
6.0,1.0,1.0,166.0,449.0,483.0,185.0,455.0,265.4806960967219,0.9187875565173392,left,-173.94580810588516,46.269920250339695,-75.99004576952737,288.94676926516667,1.7406431883443776,0.075,0.2313726
6.0,1.0,1.0,154.0,442.0,480.0,213.7603455,460.2969971,229.08851610143356,0.9789343461027019,left,-175.06611970422458,23.348581838442126,41.00976562703325,234.01826385341622,1.519599115931274,0.05,0.2039216
6.0,1.0,1.0,266.0,451.0,494.0,178.0,466.0,274.4321409747772,0.940660555984716,left,-174.14398641457106,37.83672663018851,7.681884716214981,291.74407200213915,1.0967822255719517,0.05,0.172549
6.0,1.0,1.0,196.0,441.0,488.0,142.5,460.5,299.7640738981241,0.9779485525131771,left,-174.73635242522943,30.33588870356262,6.579017698288922,306.523357622215,1.5638946817459947,0.0625,0.2313726
6.0,1.0,1.0,188.0,447.0,503.0,145.0,452.0,306.27601930285044,0.9621179958401657,left,-170.41465966750815,37.55394316107643,-17.586651967786246,318.3351944637478,1.693272310977382,0.05,0.1490196
6.0,1.0,1.0,250.0,640.0,281.0,189.2775726,253.1531067,451.5818375752172,0.9928269210571028,left,-176.46460012214456,15.908184975381877,-114.81430962228058,454.84447288596874,1.819377891543875,0.025,0.1607843
6.0,1.0,1.0,265.0,772.0,200.0,240.1099548,304.4252319,542.0439550813447,0.9955210171892745,left,168.89247429994748,6.416964054710166,168.44022200012776,544.4826836622054,2.0546516364611525,0.0625,0.1843137
6.0,1.0,1.0,294.0,790.0,131.0,199.0,321.0,620.7906249292107,0.9701207243587494,left,162.1779729663264,64.75101605341361,163.55123817437496,639.9106929084046,2.1765669826816483,0.075,0.2117647
6.0,1.0,1.0,250.0,755.0,173.0,143.5,333.5,632.212385199784,0.9731385969750744,left,165.29333968125923,56.408645806710126,33.9376035152392,649.6632516323646,2.5986530065294584,0.0625,0.1882353
6.0,1.0,1.0,237.0,744.0,141.0,198.0,303.5,569.6685439797427,0.9821472475315981,left,163.42599224309103,47.94522504216285,136.50021448506757,580.023561040846,2.4473567976407002,0.075,0.1960784
6.0,1.0,1.0,122.0,452.0,438.0,-14.5,502.0,470.86967411376156,0.9979451489423474,left,172.18825205727447,14.32881464281757,173.5868033620047,471.8392334616823,3.8675347005055927,0.05,0.145098
6.0,1.0,1.0,109.0,456.0,446.0,25.5,523.5,437.4202784508281,0.9981396280838251,left,169.79473713934374,9.53205581635766,170.07290811844337,438.2355595785372,4.020509720904011,0.0625,0.2039216
6.0,1.0,1.0,109.0,455.0,436.0,57.6210136,503.1453857,403.0118629185662,0.997719410592632,left,170.4092852435987,10.998306813754754,170.49194871436967,403.9330683956349,3.70580796693243,0.0375,0.2
6.0,1.0,1.0,108.0,457.0,445.0,-5.0,612.5,491.4267493736986,0.9626712584067677,left,160.0716790642061,66.36464837814438,159.7987157092321,510.48241555171774,4.726689032886275,0.0375,0.1647059
6.0,1.0,1.0,80.0,410.0,438.0,-65.5,534.0,485.09406304344725,0.9972147931399354,left,168.58583032227918,17.059180312126063,168.0121219728779,486.4489239234298,6.080611549042873,0.05,0.1921569
6.0,1.0,2.0,436.0,95.0,539.0,24.5,101.5,443.14388182620775,0.925765266800934,up,-99.1541119355358,68.64329442390829,-111.03719255936566,478.67844875789274,1.0978863503621392,0.075,0.2588235
6.0,1.0,2.0,378.0,114.0,511.0,30.5,134.0,386.13631012894916,0.9485371122505858,up,-102.48857191554576,42.77009516985033,-107.10567798827324,407.0861383723478,1.0769474560115022,0.075,0.2196079
6.0,1.0,2.0,512.0,82.0,493.0,34.7168236,174.4336548,322.05622966270823,0.9724596848765582,up,-98.44248429565765,30.289493985657874,-102.29284424481416,331.17694714880577,0.6468299749000113,0.075,0.2156863
6.0,1.0,2.0,454.0,79.0,472.0,52.166584,280.0830383,193.78377744896068,0.9759301287340088,up,-97.95937405183686,16.448434755901623,-102.99568794792545,198.56316732463205,0.4373638046798063,0.075,0.1843137
6.0,1.0,2.0,1008.0,78.0,552.0,94.5,462.5,91.0082413850526,0.16533252505784882,up,-79.55437794347489,85.0324498086721,-7.580808426492655,550.4557639412413,0.5460870674020252,0.075,0.227451
7.0,1.0,1.0,247.0,665.0,423.6969604,0.0,976.4243164,864.7152884451335,0.9636949156022787,left,140.26769288477277,110.7672819333383,143.1694218869019,897.2915332906099,3.632759244091538,0.5712,0.2903226
7.0,1.0,1.0,133.0,762.5,431.5758057,405.625,649.7576294,418.28587570949355,0.9983154577689857,left,148.5597344551088,10.321270585027149,148.77719855225982,418.9916848971466,3.1503134202792977,0.4224,0.2580645
7.0,1.0,1.0,121.0,756.875,404.3030396,391.875,660.0606079,445.6870356457872,0.9962875681863927,left,144.9808534162324,17.444422980689872,144.9205330491377,447.34778379007616,3.6970891222320343,0.3552,0.2258064
7.0,1.0,1.0,155.0,793.75,360.666687,460.625,578.8485107,398.21548666275885,0.9973874362086355,left,146.7770127832435,4.573900932731784,145.0435513411616,399.25857515961263,2.5758617752233075,0.3936,0.1612903
7.0,1.0,1.0,176.0,799.375,341.8787842,321.25,614.0,550.1395020478626,0.9982260899254732,left,150.3539602014343,13.924578371918093,148.72983106470468,551.1171342846144,3.1313473538898546,0.4224,0.1290323
7.0,1.0,1.0,124.0,786.875,341.8787842,354.375,598.8485107,503.0802026888802,0.9985270765087803,left,149.2833503064706,12.153917242607601,150.14208303549208,503.8222943816752,4.063083019207058,0.3312,0.1612903
7.0,1.0,1.0,173.0,789.375,318.8485107,322.5,636.4242554,564.6473406000949,0.997291252726736,left,145.77584440826897,16.40400565527065,145.18430436509038,566.1809817906944,3.2727224380964994,0.4272,0.1935484
7.0,1.0,1.0,118.0,746.25,315.2121277,355.0,598.2424316,482.8899620262637,0.99789117394937,left,144.11801762604227,14.01966149647519,144.77443921631183,483.91044497880694,4.100935974396669,0.408,0.2580645
7.0,1.0,1.0,194.0,798.125,278.8485107,288.125,653.3939819,632.7592828212242,0.9970194208838665,left,143.70633236610013,19.494877480275935,143.85488669810582,634.6509100698134,3.271396443658832,0.4608,0.1612903
7.0,1.0,1.0,137.0,786.875,239.4545593,373.75,515.8181763,497.0403549273667,0.9980747770997538,left,146.21910694347943,13.701985254275224,146.22891457501308,497.9991142263777,3.6350300308494723,0.3648,0.2258064
7.0,8.0,1.0,201.0,758.125,458.8485107,228.125,527.9393921,534.4843775945457,0.9976544205354392,left,172.57279646675897,9.91540810306486,169.54253757961226,535.7410006840735,2.6653781128560867,0.4512,0.2903226
7.0,8.0,1.0,247.0,774.375,542.4848633,288.125,625.5151978,493.28804865634226,0.9675416610616776,left,170.30983472346168,24.84667579666537,105.64519384885358,509.83649439452586,2.064115361921157,0.4992,0.2903226
